gstreamer1.0-packagekit	1.2.8-2ubuntu1.5	arm64
gstreamer1.0-pipewire	1.0.5-1ubuntu3.3	arm64
gstreamer1.0-plugins-base	1.24.2-1ubuntu0.4	arm64
gstreamer1.0-plugins-base-apps	1.24.2-1ubuntu0.4	arm64
gstreamer1.0-plugins-good	1.24.2-1ubuntu1.5	arm64
gstreamer1.0-tools	1.24.2-1ubuntu0.1	arm64
gstreamer1.0-x	1.24.2-1ubuntu0.4	arm64
gtk-im-libthai	0.2.2-2build2	arm64
gtk-update-icon-cache	3.24.41-4ubuntu1.3	arm64
gtk2-engines-murrine	0.98.2-4	arm64
gtk2-engines-pixbuf	2.24.33-4ubuntu1.1	arm64
guile-3.0-libs	3.0.9-1build2	arm64
gvfs	1.54.4-0ubuntu1~24.04.2	arm64
gvfs-backends	1.54.4-0ubuntu1~24.04.2	arm64
gvfs-common	1.54.4-0ubuntu1~24.04.2	all
gvfs-daemons	1.54.4-0ubuntu1~24.04.2	arm64
gvfs-fuse	1.54.4-0ubuntu1~24.04.2	arm64
gvfs-libs	1.54.4-0ubuntu1~24.04.2	arm64
gzip	1.12-1ubuntu3.2	arm64
hdparm	9.65+ds-1build1	arm64
heif-gdk-pixbuf	1.17.6-1ubuntu4.8	arm64
heif-thumbnailer	1.17.6-1ubuntu4.8	arm64
hicolor-icon-theme	0.17-2	all
hostname	3.23+nmu2ubuntu2	arm64
hpc-sdk-repo	25.10-2	arm64
hplip	3.23.12+dfsg0-0ubuntu5.1	arm64
hplip-data	3.23.12+dfsg0-0ubuntu5.1	all
htop	3.3.0-4build1	arm64
humanity-icon-theme	0.6.16	all
hunspell-de-at-frami	1:24.2.1-1	all
